Month,Solid_Wate_Category,Location,Type,Waste_Type,Amount_Pounds
1/1/2018,Commodity,Magnolia & Alice,Drop off Center,Aluminum,460.00
1/1/2018,Commodity,Magnolia & Alice,Drop off Center,Plastics,8840.00
1/1/2018,Commodity,Magnolia & Alice,Drop off Center,Glass,15680.00
1/1/2018,Commodity,Magnolia & Alice,Drop off Center,Mixed Paper,12800.00
1/1/2018,Commodity,Magnolia & Alice,Drop off Center,Cardboard,10720.00
1/1/2018,Commodity,Magnolia & Alice,Drop off Center,Steel/Tim,520.00
1/1/2018,Commodity,Magnolia & Alice,Drop off Center,Newspaper,3440.00
1/1/2018,Commodity,Magnolia & Alice,Drop off Center,All Mixed (no glass),
1/1/2018,Commodity,225 Moody,Drop off Center,Aluminum,300.00
1/1/2018,Commodity,226 Moody,Drop off Center,Plastics,4957.00
1/1/2018,Commodity,227 Moody,Drop off Center,Glass,6300.00
1/1/2018,Commodity,228 Moody,Drop off Center,Mixed Paper,6360.00
1/1/2018,Commodity,229 Moody,Drop off Center,Cardboard,5455.00
1/1/2018,Commodity,230 Moody,Drop off Center,Steel/Tim,760.00
1/1/2018,Commodity,231 Moody,Drop off Center,Newspaper,11700.00
1/1/2018,Commodity,232 Moody,Drop off Center,All Mixed (no glass),
1/1/2018,Commodity,4440 Western Av.,Drop off Center,Aluminum,680.00
1/1/2018,Commodity,4440 Western Av.,Drop off Center,Plastics,5540.00
1/1/2018,Commodity,4440 Western Av.,Drop off Center,Glass,14520.00
1/1/2018,Commodity,4440 Western Av.,Drop off Center,Mixed Paper,10420.00
1/1/2018,Commodity,4440 Western Av.,Drop off Center,Cardboard,9200.00
1/1/2018,Commodity,4440 Western Av.,Drop off Center,Steel/Tim,1200.00
1/1/2018,Commodity,4440 Western Av.,Drop off Center,Newspaper,
1/1/2018,Commodity,4440 Western Av.,Drop off Center,All Mixed (no glass),
1/1/2018,Commodity,341 Parkvillage,Drop off Center,Aluminum,1940.00
1/1/2018,Commodity,341 Parkvillage,Drop off Center,Plastics,13940.00
1/1/2018,Commodity,341 Parkvillage,Drop off Center,Glass,29260.00
1/1/2018,Commodity,341 Parkvillage,Drop off Center,Mixed Paper,32260.00
1/1/2018,Commodity,341 Parkvillage,Drop off Center,Cardboard,24780.00
1/1/2018,Commodity,341 Parkvillage,Drop off Center,Steel/Tim,1920.00
1/1/2018,Commodity,341 Parkvillage,Drop off Center,Newspaper,16040.00
1/1/2018,Commodity,341 Parkvillage,Drop off Center,All Mixed (no glass),
1/1/2018,Commodity,227 Willow Av.,Drop off Center,Aluminum,426.00
1/1/2018,Commodity,227 Willow Av.,Drop off Center,Plastics,3020.00
1/1/2018,Commodity,227 Willow Av.,Drop off Center,Glass,15820.00
1/1/2018,Commodity,227 Willow Av.,Drop off Center,Mixed Paper,6560.00
1/1/2018,Commodity,227 Willow Av.,Drop off Center,Cardboard,3980.00
1/1/2018,Commodity,227 Willow Av.,Drop off Center,Steel/Tim,540.00
1/1/2018,Commodity,227 Willow Av.,Drop off Center,Newspaper,3740.00
1/1/2018,Commodity,227 Willow Av.,Drop off Center,All Mixed (no glass),
1/1/2018,Commodity,Curbside City-Wide,Curbside,Aluminum,
1/1/2018,Commodity,Curbside City-Wide,Curbside,Plastics,
1/1/2018,Commodity,Curbside City-Wide,Curbside,Glass,
1/1/2018,Commodity,Curbside City-Wide,Curbside,Mixed Paper,
1/1/2018,Commodity,Curbside City-Wide,Curbside,Cardboard,
1/1/2018,Commodity,Curbside City-Wide,Curbside,Steel/Tim,
1/1/2018,Commodity,Curbside City-Wide,Curbside,Newspaper,
1/1/2018,Commodity,Curbside City-Wide,Curbside,All Mixed (no glass),
1/1/2018,Commodity,Downtown,Curbside,Aluminum,
1/1/2018,Commodity,Downtown,Curbside,Plastics,
1/1/2018,Commodity,Downtown,Curbside,Glass,
1/1/2018,Commodity,Downtown,Curbside,Mixed Paper,
1/1/2018,Commodity,Downtown,Curbside,Cardboard,8300.00
1/1/2018,Commodity,Downtown,Curbside,Steel/Tim,
1/1/2018,Commodity,Downtown,Curbside,Newspaper,
1/1/2018,Commodity,Downtown,Curbside,All Mixed (no glass),
1/1/2018,Commodity,KPD,Other,Aluminum,
1/1/2018,Commodity,KPD,Other,Plastics,
1/1/2018,Commodity,KPD,Other,Glass,
1/1/2018,Commodity,KPD,Other,Mixed Paper,5054.00
1/1/2018,Commodity,KPD,Other,Cardboard,
1/1/2018,Commodity,KPD,Other,Steel/Tim,
1/1/2018,Commodity,KPD,Other,Newspaper,
1/1/2018,Commodity,KPD,Other,All Mixed (no glass),
1/1/2018,Commodity,Recycling Trailer,Other,Aluminum,
1/1/2018,Commodity,Recycling Trailer,Other,Plastics,
1/1/2018,Commodity,Recycling Trailer,Other,Glass,
1/1/2018,Commodity,Recycling Trailer,Other,Mixed Paper,
1/1/2018,Commodity,Recycling Trailer,Other,Cardboard,
1/1/2018,Commodity,Recycling Trailer,Other,Steel/Tim,
1/1/2018,Commodity,Recycling Trailer,Other,Newspaper,
1/1/2018,Commodity,Recycling Trailer,Other,All Mixed (no glass),
1/1/2018,Landfill,Landfill Class 1,Waste,Transfer Station,1322.00
1/1/2018,Landfill,Landfill Class 1,Waste,Household Trash,3531.00
1/1/2018,Landfill,Landfill Class 1,Waste,Misc Trash,1.70
1/1/2018,Landfill,Landfill Class 1,Waste,Construction,
1/1/2018,Landfill,Landfill Class 1,Waste,Codes,
1/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Transfer Station,1072.00
1/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Household Trash,
1/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Misc Trash,
1/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Construction,317.00
1/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Codes,157.00
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Scrap Meta,33.60
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Tires,0.00
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Carpet,2.70
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW E-Waste,0.00
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Mixed Recycling,1.20
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Diverted,
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Scrap Meta,
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Tires,
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Carpet,
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW E-Waste,
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Mixed Recycling,
1/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Diverted,1.30
1/1/2018,Mulch (TONS),Citywide,Total,Leaves,377.70
1/1/2018,Mulch (TONS),Citywide,Total,Brush,1128.60
2/1/2018,Commodity,Magnolia & Alice,Drop off Center,Aluminum, 700 
2/1/2018,Commodity,Magnolia & Alice,Drop off Center,Plastics," 3,740 "
2/1/2018,Commodity,Magnolia & Alice,Drop off Center,Glass," 5,900 "
2/1/2018,Commodity,Magnolia & Alice,Drop off Center,Mixed Paper," 11,140 "
2/1/2018,Commodity,Magnolia & Alice,Drop off Center,Cardboard," 4,380 "
2/1/2018,Commodity,Magnolia & Alice,Drop off Center,Steel/Tim, 320 
2/1/2018,Commodity,Magnolia & Alice,Drop off Center,Newspaper,
2/1/2018,Commodity,Magnolia & Alice,Drop off Center,All Mixed (no glass),
2/1/2018,Commodity,225 Moody,Drop off Center,Aluminum, 460 
2/1/2018,Commodity,226 Moody,Drop off Center,Plastics," 6,640 "
2/1/2018,Commodity,227 Moody,Drop off Center,Glass," 15,280 "
2/1/2018,Commodity,228 Moody,Drop off Center,Mixed Paper," 24,340 "
2/1/2018,Commodity,229 Moody,Drop off Center,Cardboard," 8,560 "
2/1/2018,Commodity,230 Moody,Drop off Center,Steel/Tim, 780 
2/1/2018,Commodity,231 Moody,Drop off Center,Newspaper," 11,220 "
2/1/2018,Commodity,232 Moody,Drop off Center,All Mixed (no glass),
2/1/2018,Commodity,4440 Western Av.,Drop off Center,Aluminum, 360 
2/1/2018,Commodity,4440 Western Av.,Drop off Center,Plastics," 4,100 "
2/1/2018,Commodity,4440 Western Av.,Drop off Center,Glass," 13,860 "
2/1/2018,Commodity,4440 Western Av.,Drop off Center,Mixed Paper," 7,480 "
2/1/2018,Commodity,4440 Western Av.,Drop off Center,Cardboard," 7,240 "
2/1/2018,Commodity,4440 Western Av.,Drop off Center,Steel/Tim, 600 
2/1/2018,Commodity,4440 Western Av.,Drop off Center,Newspaper," 7,760 "
2/1/2018,Commodity,4440 Western Av.,Drop off Center,All Mixed (no glass),
2/1/2018,Commodity,341 Parkvillage,Drop off Center,Aluminum," 12,220 "
2/1/2018,Commodity,341 Parkvillage,Drop off Center,Plastics," 25,480 "
2/1/2018,Commodity,341 Parkvillage,Drop off Center,Glass," 38,000 "
2/1/2018,Commodity,341 Parkvillage,Drop off Center,Mixed Paper," 50,680 "
2/1/2018,Commodity,341 Parkvillage,Drop off Center,Cardboard," 26,720 "
2/1/2018,Commodity,341 Parkvillage,Drop off Center,Steel/Tim," 1,900 "
2/1/2018,Commodity,341 Parkvillage,Drop off Center,Newspaper," 19,980 "
2/1/2018,Commodity,341 Parkvillage,Drop off Center,All Mixed (no glass),
2/1/2018,Commodity,227 Willow Av.,Drop off Center,Aluminum, 260 
2/1/2018,Commodity,227 Willow Av.,Drop off Center,Plastics," 3,560 "
2/1/2018,Commodity,227 Willow Av.,Drop off Center,Glass," 17,640 "
2/1/2018,Commodity,227 Willow Av.,Drop off Center,Mixed Paper," 8,040 "
2/1/2018,Commodity,227 Willow Av.,Drop off Center,Cardboard," 6,680 "
2/1/2018,Commodity,227 Willow Av.,Drop off Center,Steel/Tim," 1,120 "
2/1/2018,Commodity,227 Willow Av.,Drop off Center,Newspaper,
2/1/2018,Commodity,227 Willow Av.,Drop off Center,All Mixed (no glass),
2/1/2018,Commodity,Curbside City-Wide,Curbside,Aluminum,
2/1/2018,Commodity,Curbside City-Wide,Curbside,Plastics,
2/1/2018,Commodity,Curbside City-Wide,Curbside,Glass,
2/1/2018,Commodity,Curbside City-Wide,Curbside,Mixed Paper,
2/1/2018,Commodity,Curbside City-Wide,Curbside,Cardboard,
2/1/2018,Commodity,Curbside City-Wide,Curbside,Steel/Tim,
2/1/2018,Commodity,Curbside City-Wide,Curbside,Newspaper,
2/1/2018,Commodity,Curbside City-Wide,Curbside,All Mixed (no glass),
2/1/2018,Commodity,Downtown,Curbside,Aluminum,
2/1/2018,Commodity,Downtown,Curbside,Plastics,
2/1/2018,Commodity,Downtown,Curbside,Glass,
2/1/2018,Commodity,Downtown,Curbside,Mixed Paper,
2/1/2018,Commodity,Downtown,Curbside,Cardboard,5340.00
2/1/2018,Commodity,Downtown,Curbside,Steel/Tim,
2/1/2018,Commodity,Downtown,Curbside,Newspaper,
2/1/2018,Commodity,Downtown,Curbside,All Mixed (no glass),
2/1/2018,Commodity,KPD,Other,Aluminum,
2/1/2018,Commodity,KPD,Other,Plastics,
2/1/2018,Commodity,KPD,Other,Glass,
2/1/2018,Commodity,KPD,Other,Mixed Paper,5852.00
2/1/2018,Commodity,KPD,Other,Cardboard,
2/1/2018,Commodity,KPD,Other,Steel/Tim,
2/1/2018,Commodity,KPD,Other,Newspaper,
2/1/2018,Commodity,KPD,Other,All Mixed (no glass),
2/1/2018,Commodity,Recycling Trailer,Other,Aluminum,
2/1/2018,Commodity,Recycling Trailer,Other,Plastics,
2/1/2018,Commodity,Recycling Trailer,Other,Glass,
2/1/2018,Commodity,Recycling Trailer,Other,Mixed Paper,
2/1/2018,Commodity,Recycling Trailer,Other,Cardboard,
2/1/2018,Commodity,Recycling Trailer,Other,Steel/Tim,
2/1/2018,Commodity,Recycling Trailer,Other,Newspaper,
2/1/2018,Commodity,Recycling Trailer,Other,All Mixed (no glass),
2/1/2018,Landfill,Landfill Class 1,Waste,Transfer Station," 1,075.7 "
2/1/2018,Landfill,Landfill Class 1,Waste,Household Trash," 3,072.2 "
2/1/2018,Landfill,Landfill Class 1,Waste,Misc Trash, 0.9 
2/1/2018,Landfill,Landfill Class 1,Waste,Construction,
2/1/2018,Landfill,Landfill Class 1,Waste,Codes,
2/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Transfer Station," 1,535.0 "
2/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Household Trash,
2/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Misc Trash,
2/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Construction, 543.0 
2/1/2018,Landfill,Landfill Class 3,"C&D, Diverted",Codes, 360.0 
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Scrap Meta,44.0
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Tires,7.8
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,TS Carpet,3.7
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW E-Waste,0.0
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Mixed Recycling,7.6
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Non-Commodity Recycling,HHW Diverted,
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Scrap Meta,
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Tires,
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,TS Carpet,
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW E-Waste,
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Mixed Recycling,
2/1/2018,SWMF Recycled/Diverted (TONS),Citywide,Diverted,HHW Diverted,
2/1/2018,Mulch (TONS),Citywide,Total,Leaves, 186.8 
2/1/2018,Mulch (TONS),Citywide,Total,Brush," 1,480.3 "
3/1/2018,Commodity,Magnolia & Alice,Drop off Center,Aluminum, 300 
3/1/2018,Commodity,Magnolia & Alice,Drop off Center,Plastics," 5,760 "
3/1/2018,Commodity,Magnolia & Alice,Drop off Center,Glass," 12,400 "
3/1/2018,Commodity,Magnolia & Alice,Drop off Center,Mixed Paper," 15,500 "
3/1/2018,Commodity,Magnolia & Alice,Drop off Center,Cardboard," 8,720 "
3/1/2018,Commodity,Magnolia & Alice,Drop off Center,Steel/Tim, 820 
3/1/2018,Commodity,Magnolia & Alice,Drop off Center,Newspaper,
3/1/2018,Commodity,Magnolia & Alice,Drop off Center,All Mixed (no glass),
3/1/2018,Commodity,225 Moody,Drop off Center,Aluminum, 740 
3/1/2018,Commodity,225 Moody,Drop off Center,Plastics," 7,900 "
3/1/2018,Commodity,225 Moody,Drop off Center,Glass," 18,540 "
3/1/2018,Commodity,225 Moody,Drop off Center,Mixed Paper," 11,360 "
3/1/2018,Commodity,225 Moody,Drop off Center,Cardboard," 8,540 "
3/1/2018,Commodity,225 Moody,Drop off Center,Steel/Tim, 240 
3/1/2018,Commodity,225 Moody,Drop off Center,Newspaper," 11,920 "
3/1/2018,Commodity,225 Moody,Drop off Center,All Mixed (no glass),
3/1/2018,Commodity,4440 Western Av.,Drop off Center,Aluminum, -   
3/1/2018,Commodity,4440 Western Av.,Drop off Center,Plastics," 6,540 "
3/1/2018,Commodity,4440 Western Av.,Drop off Center,Glass," 7,060 "
3/1/2018,Commodity,4440 Western Av.,Drop off Center,Mixed Paper," 10,580 "
3/1/2018,Commodity,4440 Western Av.,Drop off Center,Cardboard," 9,320 "
3/1/2018,Commodity,4440 Western Av.,Drop off Center,Steel/Tim, -   
3/1/2018,Commodity,4440 Western Av.,Drop off Center,Newspaper, -   
3/1/2018,Commodity,4440 Western Av.,Drop off Center,All Mixed (no glass),
3/1/2018,Commodity,341 Parkvillage,Drop off Center,Aluminum," 2,720 "
3/1/2018,Commodity,341 Parkvillage,Drop off Center,Plastics," 26,500 "
3/1/2018,Commodity,341 Parkvillage,Drop off Center,Glass," 42,800 "
3/1/2018,Commodity,341 Parkvillage,Drop off Center,Mixed Paper," 53,400 "
